cleaned_category,score
Ezo Kobo,5.28
IKK Room,5.26
Studio Dolphin Night,5.25
Magia Doraglier,5.234999999999999
Echo,5.23
HS Pictures Studio,5.23
TOHO animation,5.22
Meltdown,5.21
G.P Entertainment,5.2
Potato House,5.2
Ishikawa Pro,5.188
Poly Animation,5.18
Public & Basic,5.175000000000001
Studio Binzo,5.175
Blue Cat,5.157142857142857
Movic,5.15
Wise Guy,5.14
Asmik Ace,5.12
Kusama Art,5.11
Filmlink International,5.102
Bouncy,5.1
TYMOTE,5.07
Ripple Film,5.04
Studio B&M,5.04
Mirai Fusion,5.02
J.T.P.P.,5.0125
Lead,5.01
Agent 21,5.005
Shimogumi,4.9975000000000005
Moss Design Unit,4.97
Project Team Sarah,4.93
Tengu Kobo,4.92
Decovocal,4.91
Poncotan,4.89
Marine Entertainment,4.865
GAV Video,4.82
Neft Film,4.8100000000000005
Tokyo Media Connections,4.8
Mippei Eigeki Kiryuukan,4.79
Studio Jin,4.79
DOGA Productions,4.77
W+K Tokyo,4.74
Sugar Boy,4.71
Gambit,4.67
KOO-KI,4.64
Studio Gazelle,4.63
Office Nobu,4.6
Studio Kelmadick,4.595000000000001
Kyotoma,4.5649999999999995
Dynamic Planning,4.54
Cutie Bee,4.53
l-a-unch・BOX,4.505
Romanov Films,4.48
Arcturus,4.35
AIC Frontier,4.31
Studio! Cucuri,4.26
Kigumi,3.96
Studio elle,3.82
Kuri Jikken Manga Kobo,3.78
RAMS,3.36
Brio Animation,3.2
Visual Flight,2.91
